n_mels,groups,test_acc,params,params_thop,flops,avg_epoch_time
20,1,0.970873786407767,52482,52482,4679680,2.6047491073608398
40,1,0.9927184466019418,58882,58882,5972480,2.9929765701293944
80,1,0.9951456310679612,71682,71682,8558080,3.7787713050842284
80,1,0.9902912621359223,71682,71682,8558080,3.824575996398926
80,2,0.9927184466019418,58882,58882,5972480,3.455086827278137
80,4,0.9854368932038835,52482,52482,4679680,3.395227384567261
80,8,0.9951456310679612,49282,49282,4033280,3.7343336582183837
80,16,0.9878640776699029,47682,47682,3710080,3.995183563232422
